Date,crisis_prob,bull_prob,entropy
2000-03-07,0.9991365990696616,0.0008634009303383654,0.003909430696989022
2000-03-08,0.9965691064923041,0.0034308935076959347,0.012223351559393154
2000-03-09,0.9973373342353696,0.0026626657646302895,0.009825729223576185
2000-03-10,0.9622890241678584,0.03771097583214159,0.06462563447457487
2000-03-13,0.9698312193342058,0.030168780665794308,0.05170050765523397
2000-03-14,0.9700038995202735,0.029996100479726635,0.05091862151583617
2000-03-15,0.9712035767372841,0.028796423262715937,0.04681116703147671
2000-03-16,0.9714288187929838,0.028571181207016134,0.04580507012108828
2000-03-17,0.9999999999999188,8.123507167134133e-14,5.437056036445046e-09
2000-03-20,0.9999999999999998,2.0107558410336108e-16,5.361482453190293e-09
2000-03-21,0.9999999999981257,1.8741145160419096e-12,1.0542531787971345e-08
2000-03-22,0.9999008002385879,9.919976141221794e-05,0.000497359697844876
2000-03-23,0.999899783794749,0.00010021620525085149,0.000505963755894027
2000-03-24,0.9998993337311415,0.00010066626885846337,0.0005098783680329847
2000-03-27,0.9998709678409924,0.00012903215900768563,0.0006670387922473906
2000-03-28,0.9998709678377514,0.00012903216224853178,0.0006670336269314827
2000-03-29,0.9999701675972895,2.9832402710428347e-05,0.00016968447161839467
2000-03-30,0.9999711840411282,2.88159588717948e-05,0.000161080413569219
2000-03-31,0.999971634104736,2.8365895263981838e-05,0.00015716043994832288
2000-04-03,0.9999999999948852,5.114759576796406e-12,1.573342132337191e-11
2000-04-04,1.0,1.2037062152420225e-36,-0.0
2000-04-05,1.0,5.864325096116389e-37,-0.0
2000-04-06,1.0,5.864325096116389e-37,-0.0
2000-04-07,1.0,7.928707025166922e-31,-0.0
2000-04-10,1.0,7.928707025166922e-31,-0.0
2000-04-11,1.0,7.928707025166922e-31,-0.0
2000-04-12,1.0,7.928707025166922e-31,-0.0
2000-04-13,1.0,7.928707025166922e-31,-0.0
2000-04-14,1.0,5.859644931107953e-37,-0.0
2000-04-17,1.0,5.859644931107953e-37,-0.0
2000-04-18,1.0,5.859644931107953e-37,-0.0
2000-04-19,1.0,5.859644931107953e-37,-0.0
2000-04-20,1.0,5.859644931107953e-37,-0.0
2000-04-24,1.0,5.859644931107953e-37,-0.0
2000-04-25,1.0,5.8683961762108766e-37,-0.0
2000-04-26,1.0,5.868396177326294e-37,-0.0
2000-04-27,1.0,2.3914800707072865e-35,-0.0
2000-04-28,1.0,8.37953832001091e-29,5.774371025175948e-14
2000-05-01,1.0,9.701635279761333e-29,4.5020550263650234e-11
2000-05-02,1.0,9.7016352797066e-29,4.527060704387769e-11
2000-05-03,1.0,9.7016352797066e-29,4.6368437852020517e-11
2000-05-04,1.0,9.701632946910496e-29,1.0166045574151678e-10
2000-05-05,1.0,1.322097018451622e-29,3.7807018952670206e-08
2000-05-08,1.0,5.870125239679367e-37,6.60262782966736e-08
2000-05-09,1.0,5.86685260664053e-37,2.467285660851629e-07
2000-05-10,1.0,5.866852595783126e-37,2.565380049991243e-07
2000-05-11,1.0,5.866852132812449e-37,9.812611516475379e-07
2000-05-12,1.0,5.859655635009061e-37,1.027943487497545e-05
2000-05-15,1.0,5.859650443470415e-37,0.00012402547882391467
2000-05-16,0.9999999999999998,5.8596450853225155e-37,0.00039289997073391897
2000-05-17,1.0,5.859646855559098e-37,0.019059478806048743
2000-05-18,1.0,5.859647040806934e-37,0.026234831525470893
2000-05-19,1.0,5.859647040806933e-37,0.0352036755216321
2000-05-22,1.0,5.859647040806425e-37,0.05237825904999185
2000-05-23,1.0,5.859647040806425e-37,0.05282088028446167
2000-05-24,1.0,5.8596452707445625e-37,0.046387241506028326
2000-05-25,1.0,5.859645085425504e-37,0.06926777660430501
2000-05-26,1.0,5.859645086952689e-37,0.12180563005084037
2000-05-30,1.0,1.2337026366231804e-29,0.15660860245404323
2000-05-31,1.0,1.384453787436095e-29,0.1745890926895634
2000-06-01,1.0,1.4474370837803446e-29,0.20722746990166016
2000-06-02,1.0,2.7914982442804843e-29,0.22687845728200579
